Nom,Domaine(s),Présentation,Statut juridique,Région(s),Numéro SIREN,URL fiche URSCOP,Adresse,Adhérent CoopTech,Notes
24Ème,,Conception et développement de logiciels libres pour des communautés de métiers,SCOP,Île-de-France (FR),,https://www.les-scop.coop/24eme?field_code_naf=&page=27,,,
Access 42,,"Accessibilité numérique : expertise, conseil et formation.",SCOP,Île-de-France (FR),,https://www.les-scop.coop/access-42,,,
Afe56.Com,,Réparation de matériel informatique,SCOP,Bretagne (FR),,https://www.les-scop.coop/afe56com?field_code_naf=&field_depart=All&field_secteur_activite_structure=1874&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Agilium ( Société Du Groupe Alma),,édition et prestations de services informatiques,SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/agilium-societe-du-groupe-alma?field_code_naf=&field_depart=1383&field_secteur_activite_structure=1868&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Alma,,"Edition de logiciels métier (industrie, santé) et services numériques (solutions collaboratives, systèmes et réseaux).",SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/alma?federation=federations/3/&field_code_naf=&page=4,,,
Alter Si,,"Intégration et la commercialisation de solutions informatiques pour les entreprises, programmation et développement, conseil en système d'information...",SCOP,Île-de-France (FR),,https://www.les-scop.coop/alter-si?field_code_naf=&field_depart=All&field_secteur_activite_structure=1874&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Amerema,,La réalisation de prestations de services à caractère informatique graphique ou Illustratif. L'achat la vente de produits ou logiciels informatique,SCOP,Île-de-France (FR),,https://www.les-scop.coop/amerema?field_code_naf=&field_depart=1456&field_secteur_activite_structure=All&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Amr Informatique,,"Conseil en informatique, maintenance, formation. Vente de matériel et de périphérique.",SCOP,Grand Est (FR),,https://www.les-scop.coop/amr-informatique?page=6,,,
Arcads,,Ingénierie informatique JAVA.,SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/arcads?federation=federations/3/&field_code_naf=&page=7,,,
Arete,,"Missions d'expertise Santé, Sécurité et Conditions de Travail pour les CSE. Formations pour les CSE : ""Santé, Sécurité et Conditions de Travail""...",SCOP,Île-de-France (FR),,https://www.les-scop.coop/arete?federation=federations/3/&field_code_naf=&page=7,,,
Artim,,"Tous travaux création, assistance informatique, audio-visuel et multimédia, vente et location.",SCOP,Pays de la Loire (FR),,https://www.les-scop.coop/artim?field_code_naf=&page=27,,,
Artishoc,,"La réalisation de prestation de conseil, de conception et de formation de produits numériques à destination des produits culturels.",SCOP,Île-de-France (FR),,https://www.les-scop.coop/artishoc?field_code_naf_target_id=&page=4,,,
Aspodelk,,"Multimédia - Création, développement et gestion de réseaux informatiques, base de données en ligne.",SCOP,Occitanie (FR),,https://www.les-scop.coop/aspodelk?field_code_naf=&field_secteur_activite_structure=1874&page=3,,,
Assistance Logiciels Formation Informatique,,"Vente et maintenance de matériels et logiciels, formation et assistance. Spécialiste en gestion commerciale, comptabilité, paie et point de vente...",SCOP,Hauts-de-France (FR),,https://www.les-scop.coop/assistance-logiciels-formation-informatique,,,
Astrolabe Cae,,CAE informatique,SCOP,Bretagne (FR),,https://www.les-scop.coop/astrolabe-cae?field_code_naf_target_id=&page=4,,,
Avalon Lab,,Conseil en systèmes et logiciels informatiques.,SCOP,Bretagne (FR),,https://www.les-scop.coop/avalon-lab?field_code_naf=&page=12,,,
Avizzeo,,Prestation de services informatiques.,SCOP,Occitanie (FR),,https://www.les-scop.coop/avizzeo?field_code_naf=&page=12,,,
Be My Media,,"édition de logiciel ,prestation d'accompagnement, éducation aux médias",SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/be-my-media?field_code_naf_target_id=&page=4,,,
Bearstech,,"Hébergement administration système, infogérance, développement d'applications web ou mobile, conseil, information R&D.",SCOP,Île-de-France (FR),,https://www.les-scop.coop/bearstech,,,
C2Rt Entreprise,,"Maintenance, vente, réparation de matériels et logiciel informatiques. Formation",SCOP,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/c2rt-entreprise?page=14,,,
Cadoles,,Conseil en systemes et logiciels,SCOP,Bourgogne-Franche-Comté (FR),,https://www.les-scop.coop/cadoles?field_code_naf=&page=11,,,
Caleido Scop,,"Développement de logiciel, informatique graphique.",SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/caleido-scop?federation=federations/3/&field_code_naf=&page=4,,,
Card,,Conception et commercialisation de produits informatiques,SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/card?field_code_naf=&field_secteur_activite_structure=1874&page=3,,,
Cbao,,Réalisation de logiciels.,SCOP,Occitanie (FR),,https://www.les-scop.coop/cbao?field_code_naf=&field_secteur_activite_structure=1866&page=2,,,
Ceicom Solutions,,"Société de services informatiques. Éditeur de logiciels, hébergement, internet.",SCOP,Occitanie (FR),,https://www.les-scop.coop/ceicom-solutions?field_code_naf=&field_depart=1424&field_secteur_activite_structure=All&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Cely Informatique,,"Prestation de service informatique, vente de matériels et de logiciels.",SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/cely-informatique?field_code_naf=&page=27,,,
Cevennes Libres,,"La promotion de l’informatique libre, la collecte, le reconditionnement, le don, l'initiation, la formation, l'installation, la maintenance de...",SCOP,Occitanie (FR),,https://www.les-scop.coop/cevennes-libres?field_code_naf=&field_depart=All&field_secteur_activite_structure=1874&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Cifea-Mkg,,"Informatique, traitement de données, gestion de fichiers, publipostage, activité de routage, d'affranchissement et de colisage, opérations...",SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/cifea-mkg?field_code_naf=&page=27,,,
