Nom,Région,Contact(s),Saison(s),Statut,Couverture,Site web,Plateforme OD,Alliance(s),nb contacts,nbPartRdv1,adresse,Long,Lat
Métropole de Lyon,Auvergne-Rhône-Alpes,"Nathalie Vernus-Prost,Laurence Martinez","Saison1,Saison2,Saison3",EPCI,Intercommunale,https://www.grandlyon.com,https://data.grandlyon.com,,2,2,20 rue du Lac 69003 Lyon,45.7580929,4.8544
Territoires Numériques BFC,Bourgogne-Franche-Comté,"Jérôme Boutet,Victor Vila,Maud Bessaguet,Mathias Murmylo","Saison1,Saison2,Saison3",AUTRE,Régionale,https://www.ternum-bfc.fr/,https://ideo.ternum-bfc.fr/,,4,1,"3 Rue de Suzon, 21000 Dijon",47.3249934,5.0404855
Département des Côtes-d'Armor,Bretagne,Dominique Baron,"Saison1,Saison2,Saison3",CD,Départementale,https://cotesdarmor.fr,http://datarmor.cotesdarmor.fr,,1,1,"9 place du Général de Gaulle, 22023 SAINT-BRIEUC",48.5140436,-2.764934
Morbihan Energies,Bretagne,David Bigoin,"Saison1,Saison2,Saison3",AUTRE,Départementale,http://morbihan-energies.fr,https://www.opendata56.fr,,1,1,": 27 rue de Luscanen, 56010 VANNES ",47.6575189,-2.804151
Soluris,Nouvelle-Aquitaine,"Véronique Vernoux,Vincent Alonso","Saison1,Saison2,Saison3",CD,Régionale,http://www.soluris.fr,https://www.data.gouv.fr/fr/organizations/soluris-syndicat-informatique-de-charente-maritime/,,2,1,"2 Rue des Rochers, 17100 Saintes",45.74170305,-0.643263
Département de Haute-Garonne,Occitanie,Thierry Martin,"Saison1,Saison2,Saison3",CD,Départementale,https://www.haute-garonne.fr,https://data.haute-garonne.fr,,1,1," 1, boulevard de la Marquette, 31090 Toulouse",43.6156635,1.4367559
Département de Loire-Atlantique,Pays de la Loire,"Annaïg Denis,Jean-Philippe Lefevre","Saison1,Saison2,Saison3",CD,Départementale,https://www.loire-atlantique.fr,https://data.loire-atlantique.fr,,2,0,"3 quai Ceineray, 44041 Nantes",47.22087014,-1.5521513
Agglomération de La Rochelle,Nouvelle-Aquitaine,Virginie Steiner,"Saison1,Saison2,Saison3",EPCI,Intercommunale,https://www.agglo-larochelle.fr,https://opendata.larochelle.fr,,1,1,https://www.dcode.fr/geocodage,46.1332684,-1.0463925
SICTIAM,Sud PACA,"opendata,Kristina Rochard,Nathalie Giordani,Laeticia Lycke","Saison1,Saison2,Saison3",AUTRE,Départementale,https://www.sictiam.fr,https://opendata.sictiam.fr,,4,0,"1047 Rte des Dolines, 06560 Valbonne",43.6270009,7.0404292
OpenDataFrance,,"Jean-Marie Bourgogne,Thierry Martin (ODF)","Saison1,Saison2,Saison3",AUTRE,Nationale,http://www.opendatafrance.net,,,2,1,"8 Passage Brulon, 75012 Paris",48.8496861,2.3800148
Grand Chambéry,Auvergne-Rhône-Alpes,"Lise Paulus-Levet,Marion Pécot","Saison2,Saison3",EPCI,Intercommunale,https://www.grandchambery.fr,https://donnees.grandchambery.fr,AGATE - Agence Alpine des Territoires,2,1,"106 All. des Blachères, 73000 Chambéry",45.5986376,5.8966321
Département du Finistère,Bretagne,"Chantal Gibert,Françoise Dréan,Agathe Boulc'h,Gwénaëlle Morvan","Saison2,Saison3",CD,Départementale,https://www.finistere.fr,https://opendata.finistere.fr,,4,0,"32, boulevard Dupleix, 29196 Quimper",47.9946877,-4.1013985
Région Grand Est,Grand Est,"Vincent Le Person,Estelle Leduc,Marie-Christine Schott,Guillaume Ryckelynck","Saison2,Saison3",CR,Régionale,https://www.grandest.fr,http://data.grandest.fr,,4,3,"1 place Adrien Zeller, 67070 Strasbourg",48.5989032,7.7598938
Métropole Européenne de Lille,Hauts-de-France,"Jérôme Van Oost,Myriam Limpens","Saison2,Saison3",EPCI,Intercommunale,http://www.lillemetropole.fr,https://opendata.lillemetropole.fr,,2,2,"2 boulevard des Cités Unies, 59800 Lille",50.6318134,3.08044
Grand Paris Seine Ouest,Île-de-France,"Prune Bonnivard,Isabelle Reynaud","Saison2,Saison3",EPCI,Intercommunale,https://www.seineouest.fr,https://www.data.gouv.fr/fr/organizations/grand-paris-seine-ouest/,,2,1,"9 Rte de Vaugirard, 92197 Meudon",48.819949,2.2423164
GIP ATGeRi,Nouvelle-Aquitaine,"Anne Sagot-Duvauroux,Héloïse Deschamps,Sébastien Dias","Saison2,Saison3",AUTRE,Régionale,https://gipatgeri.fr,https://www.pigma.org/geonetwork/,,3,1,"6 Parv. des Chartrons, 33075 Bordeaux",44.842411,-0.570437
CARENE - Saint-Nazaire Agglomération,Pays de la Loire,"Elise Urvoy,Peggy Mingot,S Hachon","Saison2,Saison3",EPCI,Intercommunale,http://www.agglo-carene.fr,https://data.agglo-carene.fr,,3,1,"4 avenue Commandant l'Herminier, 44 605 Saint-Nazaire",47.180037,-2.158085
Département des Hautes-Pyrénées,Occitanie,Jérôme Guinle,"Saison2,Saison3",CD,Départementale,http://www.hautespyrenees.fr,https://opendata.ha-py.fr,,1,1,"6 RUE GASTON MANENT , 65013 TARBES",43.2325765,0.0702896
Département de l'Hérault,Occitanie,Victor Kahn,"Saison2,Saison3",CD,Départementale,https://herault.fr,https://www.herault-data.fr/pages/accueil/,,1,0,"1977 avenue des moulins, 34087 Montpellier",43.6229106,3.8376698
Département du Gers,Occitanie,Olivier Bonnefon,Saison3,CD,Départementale,https://www.gers.fr,https://data.gers.fr/pages/accueil/,,1,0,"81 route de Pessan, 32022 Auch",43.6030853,0.6941835
Département du Tarn et Garonne via 82 Numérique,Occitanie,Amaury Duche-Bancel,Saison3,CD,Départementale,,https://www.82numerique.fr/usages/open-data,,1,0,"100 Bd Hubert Gouze, 82000 Montauban",44.0083636,1.3593365
Métropole de Strasbourg,Grand Est,Luc Fromm,Saison3,EPCI,Intercommunale,,https://data.strasbourg.eu/pages/accueil/,,1,0,"1 Parc de l'Étoile, 67076 Strasbourg",48.5733789,7.7523399
Métropole de Bordeaux,Nouvelle-Aquitaine,Yann Mareschal,Saison3,EPCI,Intercommunale,,https://opendata.bordeaux-metropole.fr/pages/accueil/,,1,0,"Esplanade Charles-de-Gaulle, 33045 Bordeaux",44.8050022,-0.6317095
Métropole du Grand Paris,Île-de-France,Eloy Lafaye,Saison3,EPCI,Intercommunale,,,,1,0,15-19 avenue Pierre-Mendès-France 75013 Paris ,48.837399,2.3702795
