id_odf,siren,nom,type,adress,url_ptf,nb_ptf,url_datagouv,nb_datagouv,id_datagouv,merge,tranche_ptf,platform_clean,orga,tags,id_ods,depcode,dep_label,regcode,reg_code_short,reg_code_geo,pop_insee,tranche_pop,lat,lon,text
odf_213500010,213500010,ACIGNE,COM,Place de la Mairie 35690 Acigné,https://data.rennesmetropole.fr/explore/?sort=modified&refine.publisher=Commune+d%27Acigné,4,,6,,ptf,d_1_5,OpenDataSoft,Data Rennes Métropole,Social-Citoyenneté,Commune d'Acigné,35,Ille-et-Vilaine,BRE-53,BRE,53,6275,p_5_10,48.133181,-1.533969,"<p>L'organisation ACIGNE est une commune et se situe dans le département 35 (Ille-et-Vilaine) en région Bretagne. Cette commune représente une population de 6275 habitants</p><br><p>ACIGNE publie uniquement sur un portail local avec une plateforme de type OpenDataSoft.</p><br><p>Cette organisation a publié 4 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://data.rennesmetropole.fr/explore/?sort=modified&refine.publisher=Commune+d%27Acigné'> la plateforme de ACIGNE</a>.</p><br><p>Adresse : Place de la Mairie 35690 Acigné.</p><br><p>N° de SIREN : 213500010.</p><br>"
odf_254002272,254002272,ADACL Landes,AGCT,175 Place de la Caserne Bosquet 40000 Mont-de-Marsan,,,https://www.data.gouv.fr/fr/organizations/agence-departementale-daide-aux-collectivites-locales-des-landes/#organization-datasets,,,datagouv,d_6_10,DataGouv,DataGouv,Equipements,,40,Landes,NAQ-75,NAQ,75,410355,p_250_500,43.896897,-0.493175,"<p>L'organisation ADACL Landes est un autre groupement de collectivité territoriale et se situe dans le département 40 (Landes) en région Nouvelle-Aquitaine. Cet autre groupement de collectivité territoriale représente une population de 410355 habitants</p><br><p>ADACL Landes publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 6 jeux de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/agence-departementale-daide-aux-collectivites-locales-des-landes/#organization-datasets'> sa page sur datagouv</a>.</p><br><p>Adresse : 175 Place de la Caserne Bosquet 40000 Mont-de-Marsan.</p><br><p>N° de SIREN : 254002272.</p><br>"
odf_306966110,306966110,ADEUPa,OACT,18 Rue Jean Jaurès 29200 Brest,https://opendata.brest-metropole.fr/explore/?sort=modified&refine.publisher=ADEUPa,12,,,,ptf,d_11_25,OpenDataSoft,Opendata Brest Metropole,Economie-Urbanisme,,29,Finistère,BRE-53,BRE,53,,p_na,48.391773,-4.483744,"<p>L'organisation ADEUPa est un organisme associé de collectivité territoriale et se situe dans le département 29 (Finistère) en région Bretagne. </p><br><p>ADEUPa publie uniquement sur un portail local avec une plateforme de type OpenDataSoft.</p><br><p>Cette organisation a publié 12 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://opendata.brest-metropole.fr/explore/?sort=modified&refine.publisher=ADEUPa'> la plateforme de ADEUPa</a>.</p><br><p>Adresse : 18 Rue Jean Jaurès 29200 Brest.</p><br><p>N° de SIREN : 306966110.</p><br>"
odf_384452611,384452611,ADICO SMI OISE,AGCT,5 Rue Jean Monnet 60000 Beauvais,https://opendata.adico.fr/fr/dataset?organization=adico,1,,68,,ptf,d_1_5,CKAN,Opendata ADICO 60,Administratif,,60,Oise,HDF-32,HDF,32,,p_na,49.444724,2.101907,"<p>L'organisation ADICO SMI OISE est un autre groupement de collectivité territoriale et se situe dans le département 60 (Oise) en région Hauts-de-France. </p><br><p>ADICO SMI OISE publie uniquement sur un portail local avec une plateforme de type CKAN.</p><br><p>Cette organisation a publié 1 jeu de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://opendata.adico.fr/fr/dataset?organization=adico'> la plateforme de ADICO SMI OISE</a>.</p><br><p>Adresse : 5 Rue Jean Monnet 60000 Beauvais.</p><br><p>N° de SIREN : 384452611.</p><br>"
odf_214700015,214700015,AGEN,COM,Place Docteur Pierre Esquirol 47000 Agen,https://data.agen.fr/explore/?refine.publisher=Mairie+d%27Agen,5,https://www.data.gouv.fr/fr/organizations/5bec29278b4c412a07c7ee5f/,,5bec29278b4c412a07c7ee5f,ptf+datagouv,d_51_100,OpenDataSoft,Data Agen,,Mairie d'Agen,47,Lot-et-Garonne,NAQ-75,NAQ,75,34956,p_25_50,44.202896,0.615474,"<p>L'organisation AGEN est une commune et se situe dans le département 47 (Lot-et-Garonne) en région Nouvelle-Aquitaine. Cette commune représente une population de 34956 habitants</p><br><p>AGEN publie sur un portail local et sur data.gouv avec une plateforme de type OpenDataSoft.</p><br><p>Cette organisation a publié 73 jeux de données : 5 jeux de données sur sa plateforme et 68 jeux de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://data.agen.fr/explore/?refine.publisher=Mairie+d%27Agen'> la plateforme de AGEN</a> ou sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/5bec29278b4c412a07c7ee5f/'> sa page sur datagouv</a>.</p><br><p>Adresse : Place Docteur Pierre Esquirol 47000 Agen.</p><br><p>N° de SIREN : 214700015.</p><br>"
odf_776258261,776258261,AGENCE DE DEV. TOURISTIQUE DE L'ARDECHE,OACT,6 Route des Mînes 07000 Privas,https://opendata.ardeche.fr/group/agence-de-développement-touristique-de-lardèche,3,,2,,ptf,d_1_5,CKAN,Opendata Ardèche,Tourisme,,07,Ardèche,ARA-84,ARA,84,,p_na,44.72712,4.585969,"<p>L'organisation AGENCE DE DEV. TOURISTIQUE DE L'ARDECHE est un organisme associé de collectivité territoriale et se situe dans le département 07 (Ardèche) en région Auvergne-Rhône-Alpes. </p><br><p>AGENCE DE DEV. TOURISTIQUE DE L'ARDECHE publie uniquement sur un portail local avec une plateforme de type CKAN.</p><br><p>Cette organisation a publié 3 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://opendata.ardeche.fr/group/agence-de-développement-touristique-de-lardèche'> la plateforme de AGENCE DE DEV. TOURISTIQUE DE L'ARDECHE</a>.</p><br><p>Adresse : 6 Route des Mînes 07000 Privas.</p><br><p>N° de SIREN : 776258261.</p><br>"
odf_216400085,216400085,AHAXE-ALCIETTE-BASCASSAN,COM,64220 AHAXE-ALCIETTE-BASCASSAN,,,https://www.data.gouv.fr/fr/organizations/ahaxe-alciette-bascassan/,1,5f55fc85c2d347d5abab8c57,datagouv,d_1_5,DataGouv,DataGouv,Equipements,,64,Pyrénées-Atlantiques,NAQ-75,NAQ,75,271,na,43.1450099,-1.1641302,"<p>L'organisation AHAXE-ALCIETTE-BASCASSAN est une commune et se situe dans le département 64 (Pyrénées-Atlantiques) en région Nouvelle-Aquitaine. Cette commune représente une population de 271 habitants</p><br><p>AHAXE-ALCIETTE-BASCASSAN publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 2 jeux de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/ahaxe-alciette-bascassan/'> sa page sur datagouv</a>.</p><br><p>Adresse : 64220 AHAXE-ALCIETTE-BASCASSAN.</p><br><p>N° de SIREN : 216400085.</p><br>"
odf_210500039,210500039,AIGUILLES,COM,Chemin de Chalvet 05470 Aiguilles,,,https://www.data.gouv.fr/fr/organizations/aiguilles/,1,,datagouv,d_1_5,DataGouv,DataGouv,Equipements,,05,Hautes-Alpes,PAC-93,PAC,93,411,na,44.782807,6.862459,"<p>L'organisation AIGUILLES est une commune et se situe dans le département 05 (Hautes-Alpes) en région Provence-Alpes-Côte-d’Azur. Cette commune représente une population de 411 habitants</p><br><p>AIGUILLES publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 1 jeu de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/aiguilles/'> sa page sur datagouv</a>.</p><br><p>Adresse : Chemin de Chalvet 05470 Aiguilles.</p><br><p>N° de SIREN : 210500039.</p><br>"
odf_256404393,256404393,AGENCE PUBLIQUE DE GESTION LOCALE PYR. ATLANTIQUES,AGCT,Rue Auguste Renoir 64000 Pau,,,https://www.data.gouv.fr/fr/organizations/5c94a888634f415e8c85de26/,2,5c94a888634f415e8c85de26,datagouv,d_1_5,DataGouv,DataGouv,,,64,Pyrénées-Atlantiques,NAQ-75,NAQ,75,,p_na,43.310202,-0.358364,"<p>L'organisation AGENCE PUBLIQUE DE GESTION LOCALE PYR. ATLANTIQUES est un autre groupement de collectivité territoriale et se situe dans le département 64 (Pyrénées-Atlantiques) en région Nouvelle-Aquitaine. </p><br><p>AGENCE PUBLIQUE DE GESTION LOCALE PYR. ATLANTIQUES publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 1 jeu de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/5c94a888634f415e8c85de26/'> sa page sur datagouv</a>.</p><br><p>Adresse : Rue Auguste Renoir 64000 Pau.</p><br><p>N° de SIREN : 256404393.</p><br>"
odf_216400135,216400135,AINHICE MONGELOS,COM,64220 AINHICE-MONGELOS,,,https://www.data.gouv.fr/fr/organizations/5f340b1cfbebbe5c7c80d24e/,,5f340b1cfbebbe5c7c80d24e,datagouv,d_1_5,DataGouv,DataGouv,Equipements,,64,Pyrénées-Atlantiques,NAQ-75,NAQ,75,173,na,43.2032692,-1.1550737,"<p>L'organisation AINHICE MONGELOS est une commune et se situe dans le département 64 (Pyrénées-Atlantiques) en région Nouvelle-Aquitaine. Cette commune représente une population de 173 habitants</p><br><p>AINHICE MONGELOS publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 2 jeux de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/5f340b1cfbebbe5c7c80d24e/'> sa page sur datagouv</a>.</p><br><p>Adresse : 64220 AINHICE-MONGELOS.</p><br><p>N° de SIREN : 216400135.</p><br>"
