Nom de la ressource,Objet,Enjeux politiques,Enjeux Opérationnels,Phase,Lien vers la ressources,Type,Producteurs,Contexte Projet,Status,Date de mise à jour,Dernière modification,Wordpress ID,Wordpress status
Comprendre le cycle de vie des données,"Ce document expose les différentes phases du cycle de vie de la donnée et attire le lecteur sur les points d’attention majeurs, dans la mise en œuvre d’une gouvernance au service de la qualité des données, notamment dans un but d’ouverture et de réutilisation.","Transparence,Transformation ,Gouvernance des données","Partage,Acquisition,Qualité,Conservation,Réutilisation",Comprendre,https://opendatafrance.gitbook.io/kit-de-ressources-odf/fiches-pratiques/comprendre/comprendre-le-cycle-de-vie-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,A jour (2022),Mai 2022 (mb),23/5/2022 12:00pm,3273,publish
10 commandements,Infographie rappelant les 10 grands principes à appliquer pour réussir sa démarche Data.,"Transparence,Transformation ,Gouvernance des données","Partage,Qualité,Réutilisation,Animation",Comprendre,https://opendatafrance.gitbook.io/kit-de-ressources-odf/fiches-pratiques/comprendre/10-commandements-de-louverture-des-donnees-publiques,Guides / doc.,OpenDataFrance,OpenDataLocale,A jour (2022),Mai 2022 (mb),23/5/2022 11:22am,3190,publish
Définition : Les données,"Ce court article permet de comprendre ce qu'est la donnée, au regard d'autres notions telles que l'information ou le document. ","Transparence,Transformation ,Innovation,Conformité",Partage,Comprendre,https://opendatafrance.gitbook.io/kit-de-ressources-odf/fiches-pratiques/comprendre/definition-les-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,A jour (2022),Mai 2022 (mb),23/5/2022 11:22am,3222,publish
"Transparence, Concertation, Observatoire",,Transparence,Partage,Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/concertation-publique,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",(mb),23/5/2022 11:22am,3208,publish
Ouvrir les données pour la démocratie,,"Transparence,Conformité","Partage,Valorisation",Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-agir/ouvrir-les-donnees-pour-la-democratie,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour agir,"Fiches pédagogiques - mettre à jour ?
",(mb),23/5/2022 11:22am,3211,publish
Foire aux questions sur la licence ODbL,,"Conformité,Confiance",Partage,Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/aspects-juridiques/foire-aux-questions-sur-la-licence-odbl,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Aspects juridiques,Fiches pratiques - mettre à jour ?,(vk),23/5/2022 11:22am,3184,publish
Le glossaire de la donnée,Les définitions des termes les plus courants autour de la donnée et de son exploitation.,"Transparence,Transformation ,Innovation,Confiance,Conformité",Partage,Comprendre,https://opendatafrance.gitbook.io/kit-de-ressources-odf/fiches-pratiques/comprendre/le-glossaire-de-la-donnee,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,A jour (2022),Mai 2022 (mb),23/5/2022 11:22am,3186,publish
Les métiers autour des données,,Transformation ,"Organisation,Réutilisation",Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-comprendre/les-metiers-autour-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,"Fiches pédagogiques - mettre à jour ?
",(mb),23/5/2022 11:22am,3215,publish
Choix des licences open data,,"Conformité,Confiance",Partage,Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/aspects-juridiques/choix-des-licences-open-data,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Aspects juridiques,Fiches pratiques - mettre à jour ?,(vk),23/5/2022 11:22am,3234,publish
Inventaire des lois en rapport avec l'open data,,Conformité,"Partage,Protection",Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/aspects-juridiques/inventaire-des-lois-en-rapport-avec-lopen-data,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Aspects juridiques,Fiches pratiques - mettre à jour ?,(ap),23/5/2022 11:22am,3237,publish
