Nom,Regcode,Type,Collab,url,Techno,porteur,thèmatique,grappe,url-reuse,nb-reuse,url-forum-dodo,nb-struct-hebergees,contact,twitter,Organisations 5,Last Modified,Organisations copy
Aix en Provence Open Data,PAC-93,Portail,Dédié,https://aix-en-provence.opendatasoft.com/pages/accueil/,OpenDataSoft,COM,Généraliste,,,,,1,,,211300017,10/10/2021 4:39pm,
Atmo Aura Open Data,ARA-84,Géoportail,Dédié,https://data-atmoaura.opendata.arcgis.com,ArcGis,OACT,Environnement,,,,,1,demandes@atmo-aura.fr,,534194451,11/2/2022 5:08pm,
Atmo Bfc Open Data,BFC-27,Site web,Dédié,https://www.atmo-bfc.org/opendata,Spécifique,OACT,Environnement,,,,,1,https://www.atmo-bfc.org/contact,,829854181,11/2/2022 5:09pm,
Atmo Grand Est Open Data,GES-44,Géoportail,Dédié,https://data-atmograndest.opendata.arcgis.com,ArcGis,OACT,Environnement,,,,,1,contact@atmo-grandest.eu,,822734307,28/10/2020 12:08pm,
Atmo Guyane,GF-03,Géoportail,Dédié,https://data-atmo-guyane.opendata.arcgis.com,ArcGIS,REG,Environnement,,,,,1,,,420010878,10/10/2021 3:34pm,
Atmo Hauts de France Open Data,HDF-32,Géoportail,Dédié,https://data-atmo-hdf.opendata.arcgis.com,ArcGis,OACT,Environnement,,,,,1,contact@atmo-hdf.fr,,478029127,28/10/2020 12:08pm,
Atmo Normandie Open Data,NOR-28,Géoportail,Dédié,https://datas-atmonormandie.opendata.arcgis.com,ArcGis,OACT,Environnement,,,,,1,contact@atmonormandie.fr,,488233313,28/10/2020 12:08pm,
Atmo Nouvelle Aquitaine Open Data,NAQ-75,Géoportail,Dédié,https://data-atmo-na.opendata.arcgis.com,ArcGis,OACT,Environnement,,,,,1,https://www.atmo-nouvelleaquitaine.org/contact,,311059422,28/10/2020 12:08pm,
Atmo Occitanie Open Data,OCC-76,Géoportail,Dédié,https://data-atmo-occitanie.opendata.arcgis.com,ArcGis,OACT,Environnement,,,,,1,contact@atmo-occitanie.org,,308599703,28/10/2020 12:08pm,
Atmo Réunion Open Data,RE-04,Géoportail,Dédié,https://data-atmoreunion.opendata.arcgis.com,ArcGis,OACT,Environnement,,,,,1,guillaume.peris@atmo-reunion.net,,422969667,28/10/2020 12:08pm,
